timestamp,source_ip,destination_ip,protocol,packet_size
2026-05-10 21:43:12.601015,10.42.237.105,40.79.189.58,6,89
2026-05-10 21:43:12.950812,40.79.189.58,10.42.237.105,6,54
2026-05-10 21:43:13.166135,10.42.237.105,8.8.8.8,17,92
2026-05-10 21:43:13.168370,10.42.237.105,8.8.8.8,17,92
2026-05-10 21:43:13.220329,8.8.8.8,10.42.237.105,17,262
2026-05-10 21:43:13.222326,8.8.8.8,10.42.237.105,17,217
2026-05-10 21:43:13.223329,10.42.237.105,13.69.239.74,6,66
2026-05-10 21:43:13.530780,13.69.239.74,10.42.237.105,6,66
2026-05-10 21:43:13.532779,10.42.237.105,13.69.239.74,6,54
2026-05-10 21:43:13.533774,10.42.237.105,13.69.239.74,6,571
2026-05-10 21:43:13.821950,13.69.239.74,10.42.237.105,6,153
2026-05-10 21:43:13.823950,10.42.237.105,13.69.239.74,6,491
2026-05-10 21:43:14.005249,13.69.239.74,10.42.237.105,6,3894
2026-05-10 21:43:14.007425,13.69.239.74,10.42.237.105,6,291
2026-05-10 21:43:14.008423,10.42.237.105,13.69.239.74,6,66
2026-05-10 21:43:14.010435,13.69.239.74,10.42.237.105,6,2614
2026-05-10 21:43:14.011423,10.42.237.105,13.69.239.74,6,54
2026-05-10 21:43:14.012422,10.42.237.105,13.69.239.74,6,1354
2026-05-10 21:43:14.012422,10.42.237.105,13.69.239.74,6,1354
2026-05-10 21:43:14.014421,10.42.237.105,13.69.239.74,6,520
2026-05-10 21:43:14.208564,13.69.239.74,10.42.237.105,6,54
2026-05-10 21:43:14.210562,13.69.239.74,10.42.237.105,6,157
2026-05-10 21:43:14.211563,13.69.239.74,10.42.237.105,6,519
2026-05-10 21:43:14.212568,10.42.237.105,13.69.239.74,6,54
2026-05-10 21:43:14.213565,10.42.237.105,13.69.239.74,6,78
2026-05-10 21:43:14.214564,10.42.237.105,13.69.239.74,6,54
2026-05-10 21:43:14.239945,10.42.237.105,8.8.8.8,17,92
2026-05-10 21:43:14.311381,8.8.8.8,10.42.237.105,17,212
2026-05-10 21:43:14.312382,10.42.237.105,52.168.112.67,6,66
2026-05-10 21:43:14.413081,13.69.239.74,10.42.237.105,6,54
2026-05-10 21:43:14.550638,52.168.112.67,10.42.237.105,6,66
2026-05-10 21:43:14.551650,10.42.237.105,52.168.112.67,6,54
2026-05-10 21:43:14.553649,10.42.237.105,52.168.112.67,6,571
2026-05-10 21:43:14.803368,52.168.112.67,10.42.237.105,6,153
2026-05-10 21:43:14.804370,10.42.237.105,52.168.112.67,6,491
2026-05-10 21:43:15.047234,52.168.112.67,10.42.237.105,6,3894
2026-05-10 21:43:15.049179,52.168.112.67,10.42.237.105,6,291
2026-05-10 21:43:15.050177,52.168.112.67,10.42.237.105,6,1334
2026-05-10 21:43:15.051694,10.42.237.105,52.168.112.67,6,66
2026-05-10 21:43:15.052694,10.42.237.105,52.168.112.67,6,66
2026-05-10 21:43:15.053694,52.168.112.67,10.42.237.105,6,1334
2026-05-10 21:43:15.054693,10.42.237.105,52.168.112.67,6,54
2026-05-10 21:43:15.055693,10.42.237.105,52.168.112.67,6,1039
2026-05-10 21:43:15.296764,52.168.112.67,10.42.237.105,6,157
2026-05-10 21:43:15.320070,52.168.112.67,10.42.237.105,6,519
2026-05-10 21:43:15.322989,10.42.237.105,52.168.112.67,6,54
2026-05-10 21:43:15.325353,10.42.237.105,52.168.112.67,6,78
2026-05-10 21:43:15.328356,10.42.237.105,52.168.112.67,6,54
2026-05-10 21:43:15.632387,52.168.112.67,10.42.237.105,6,54
2026-05-10 21:43:15.633388,52.168.112.67,10.42.237.105,6,54
2026-05-10 21:43:19.989097,104.208.16.91,10.42.237.105,6,54
2026-05-10 21:43:24.136142,10.42.237.158,224.0.0.251,17,103
2026-05-10 21:43:24.384203,10.42.237.105,54.192.151.5,6,54
2026-05-10 21:43:24.435235,54.192.151.5,10.42.237.105,6,54
2026-05-10 21:43:24.437393,10.42.237.105,54.192.151.5,6,54
2026-05-10 21:43:24.657614,10.42.237.105,8.8.8.8,17,92
2026-05-10 21:43:24.659811,10.42.237.105,8.8.8.8,17,92
2026-05-10 21:43:24.719873,8.8.8.8,10.42.237.105,17,257
2026-05-10 21:43:24.724185,8.8.8.8,10.42.237.105,17,212
2026-05-10 21:43:24.725184,10.42.237.105,20.42.65.90,6,66
2026-05-10 21:43:24.955737,20.42.65.90,10.42.237.105,6,66
2026-05-10 21:43:24.957956,10.42.237.105,20.42.65.90,6,54
2026-05-10 21:43:24.958956,10.42.237.105,20.42.65.90,6,571
2026-05-10 21:43:25.211570,20.42.65.90,10.42.237.105,6,153
2026-05-10 21:43:25.213578,10.42.237.105,20.42.65.90,6,491
2026-05-10 21:43:25.466457,20.42.65.90,10.42.237.105,6,3894
2026-05-10 21:43:25.468461,20.42.65.90,10.42.237.105,6,291
2026-05-10 21:43:25.469457,10.42.237.105,20.42.65.90,6,66
2026-05-10 21:43:25.471457,20.42.65.90,10.42.237.105,6,2614
2026-05-10 21:43:25.472456,10.42.237.105,20.42.65.90,6,54
2026-05-10 21:43:25.473458,10.42.237.105,20.42.65.90,6,1354
2026-05-10 21:43:25.474457,10.42.237.105,20.42.65.90,6,1354
2026-05-10 21:43:25.475457,10.42.237.105,20.42.65.90,6,520
2026-05-10 21:43:25.532131,10.42.237.105,142.251.220.38,17,1292
2026-05-10 21:43:25.534139,10.42.237.105,142.251.220.38,17,1292
2026-05-10 21:43:25.663492,142.251.220.38,10.42.237.105,17,82
2026-05-10 21:43:25.665964,142.251.220.38,10.42.237.105,17,1292
2026-05-10 21:43:25.670433,142.251.220.38,10.42.237.105,17,1292
2026-05-10 21:43:25.672442,142.251.220.38,10.42.237.105,17,1292
2026-05-10 21:43:25.675438,142.251.220.38,10.42.237.105,17,1292
2026-05-10 21:43:25.677486,142.251.220.38,10.42.237.105,17,1292
2026-05-10 21:43:25.680557,142.251.220.38,10.42.237.105,17,1288
2026-05-10 21:43:25.683034,142.251.220.38,10.42.237.105,17,82
2026-05-10 21:43:25.687234,10.42.237.105,142.251.220.38,17,1292
2026-05-10 21:43:25.689721,10.42.237.105,142.251.220.38,17,81
2026-05-10 21:43:25.697720,10.42.237.105,142.251.220.38,17,82
2026-05-10 21:43:25.703721,10.42.237.105,142.251.220.38,17,125
2026-05-10 21:43:25.707211,10.42.237.105,142.251.220.38,17,113
2026-05-10 21:43:25.710203,10.42.237.105,142.251.220.38,17,74
2026-05-10 21:43:25.712203,10.42.237.105,142.251.220.38,17,1288
2026-05-10 21:43:25.717921,10.42.237.105,142.251.220.38,17,723
2026-05-10 21:43:25.773299,142.251.220.38,10.42.237.105,17,992
2026-05-10 21:43:25.774295,142.251.220.38,10.42.237.105,17,164
2026-05-10 21:43:25.776298,142.251.220.38,10.42.237.105,17,65
2026-05-10 21:43:25.781312,10.42.237.105,142.251.220.38,17,74
2026-05-10 21:43:25.785902,20.42.65.90,10.42.237.105,6,54
2026-05-10 21:43:25.787901,20.42.65.90,10.42.237.105,6,157
2026-05-10 21:43:25.791904,20.42.65.90,10.42.237.105,6,519
2026-05-10 21:43:25.792904,10.42.237.105,20.42.65.90,6,54
2026-05-10 21:43:25.794911,10.42.237.105,20.42.65.90,6,78
2026-05-10 21:43:25.795912,10.42.237.105,20.42.65.90,6,54
2026-05-10 21:43:25.798913,142.251.220.38,10.42.237.105,17,70
2026-05-10 21:43:25.804909,10.42.237.105,142.251.220.38,17,74
2026-05-10 21:43:25.812427,142.251.220.38,10.42.237.105,17,1288
2026-05-10 21:43:25.814819,142.251.220.38,10.42.237.105,17,1137
2026-05-10 21:43:25.815830,10.42.237.105,142.251.220.38,17,77
2026-05-10 21:43:25.818714,10.42.237.105,142.251.220.38,17,77
2026-05-10 21:43:25.831422,10.42.237.105,142.251.220.38,17,692
2026-05-10 21:43:25.874228,142.251.220.38,10.42.237.105,17,65
2026-05-10 21:43:25.902535,142.251.220.38,10.42.237.105,17,70
2026-05-10 21:43:25.931439,10.42.237.105,142.251.220.38,17,74
2026-05-10 21:43:25.954443,142.251.220.38,10.42.237.105,17,303
2026-05-10 21:43:25.956447,142.251.220.38,10.42.237.105,17,64
2026-05-10 21:43:25.958452,10.42.237.105,142.251.220.38,17,77
2026-05-10 21:43:26.042836,20.42.65.90,10.42.237.105,6,54
2026-05-10 21:43:26.046838,142.251.220.38,10.42.237.105,17,66
2026-05-10 21:43:27.730915,10.42.237.105,8.8.8.8,17,74
2026-05-10 21:43:27.731916,10.42.237.105,8.8.8.8,17,74
2026-05-10 21:43:27.805978,8.8.8.8,10.42.237.105,17,352
2026-05-10 21:43:27.811021,8.8.8.8,10.42.237.105,17,282
2026-05-10 21:43:27.815030,10.42.237.105,40.126.17.134,6,66
2026-05-10 21:43:27.951491,40.126.17.134,10.42.237.105,6,66
2026-05-10 21:43:27.953485,10.42.237.105,40.126.17.134,6,54
2026-05-10 21:43:27.958228,10.42.237.105,40.126.17.134,6,518
2026-05-10 21:43:28.033982,40.126.17.134,10.42.237.105,6,2614
2026-05-10 21:43:28.037328,10.42.237.105,40.126.17.134,6,54
2026-05-10 21:43:28.040219,40.126.17.134,10.42.237.105,6,1334
2026-05-10 21:43:28.043651,40.126.17.134,10.42.237.105,6,168
2026-05-10 21:43:28.045854,10.42.237.105,40.126.17.134,6,54
2026-05-10 21:43:28.056699,10.42.237.105,40.126.17.134,6,212
2026-05-10 21:43:28.074319,10.42.237.105,142.251.220.38,17,827
2026-05-10 21:43:28.163193,40.126.17.134,10.42.237.105,6,105
2026-05-10 21:43:28.173051,10.42.237.105,40.126.17.134,6,346
2026-05-10 21:43:28.176240,10.42.237.105,40.126.17.134,6,1354
2026-05-10 21:43:28.177270,10.42.237.105,40.126.17.134,6,1354
2026-05-10 21:43:28.179780,10.42.237.105,40.126.17.134,6,1354
2026-05-10 21:43:28.182800,10.42.237.105,40.126.17.134,6,879
2026-05-10 21:43:28.203472,142.251.220.38,10.42.237.105,17,70
2026-05-10 21:43:28.214700,10.42.237.105,142.250.207.194,17,1292
2026-05-10 21:43:28.215701,10.42.237.105,142.250.207.194,17,1292
2026-05-10 21:43:28.248491,10.42.237.105,142.251.220.38,17,74
2026-05-10 21:43:28.268005,40.126.17.134,10.42.237.105,6,54
2026-05-10 21:43:28.279489,142.251.220.38,10.42.237.105,17,158
2026-05-10 21:43:28.280495,142.251.220.38,10.42.237.105,17,64
2026-05-10 21:43:28.284498,10.42.237.105,142.251.220.38,17,77
2026-05-10 21:43:28.288510,10.42.237.105,142.251.220.38,17,77
2026-05-10 21:43:28.300870,142.250.207.194,10.42.237.105,17,82
2026-05-10 21:43:28.301876,142.250.207.194,10.42.237.105,17,1292
2026-05-10 21:43:28.303879,142.250.207.194,10.42.237.105,17,1292
2026-05-10 21:43:28.304877,142.250.207.194,10.42.237.105,17,1292
2026-05-10 21:43:28.306877,142.250.207.194,10.42.237.105,17,1292
2026-05-10 21:43:28.307877,10.42.237.105,142.250.207.194,17,1292
2026-05-10 21:43:28.309384,142.250.207.194,10.42.237.105,17,1292
2026-05-10 21:43:28.310395,10.42.237.105,142.250.207.194,17,81
2026-05-10 21:43:28.312395,142.250.207.194,10.42.237.105,17,1292
2026-05-10 21:43:28.315405,142.251.220.38,10.42.237.105,17,65
2026-05-10 21:43:28.316928,10.42.237.105,142.250.207.194,17,82
2026-05-10 21:43:28.373166,142.250.207.194,10.42.237.105,17,174
2026-05-10 21:43:28.377382,10.42.237.105,142.250.207.194,17,209
2026-05-10 21:43:28.379387,10.42.237.105,142.250.207.194,17,1288
2026-05-10 21:43:28.381489,10.42.237.105,142.250.207.194,17,482
2026-05-10 21:43:28.430266,10.42.237.105,8.8.8.8,17,91
2026-05-10 21:43:28.432264,10.42.237.105,8.8.8.8,17,91
2026-05-10 21:43:28.437273,142.250.207.194,10.42.237.105,17,1006
2026-05-10 21:43:28.438262,142.250.207.194,10.42.237.105,17,163
2026-05-10 21:43:28.439767,142.250.207.194,10.42.237.105,17,65
2026-05-10 21:43:28.441777,10.42.237.105,142.250.207.194,17,73
2026-05-10 21:43:28.477272,40.126.17.134,10.42.237.105,6,6454
2026-05-10 21:43:28.480515,142.250.207.194,10.42.237.105,17,70
2026-05-10 21:43:28.482538,10.42.237.105,40.126.17.134,6,54
2026-05-10 21:43:28.484544,40.126.17.134,10.42.237.105,6,5174
2026-05-10 21:43:28.485541,10.42.237.105,40.126.17.134,6,54
2026-05-10 21:43:28.488537,40.126.17.134,10.42.237.105,6,1318
2026-05-10 21:43:28.491984,10.42.237.105,40.126.17.134,6,54
2026-05-10 21:43:28.529561,10.42.237.105,142.250.207.194,17,74
2026-05-10 21:43:28.541995,8.8.8.8,10.42.237.105,17,222
2026-05-10 21:43:28.548070,8.8.8.8,10.42.237.105,17,266
2026-05-10 21:43:28.560185,10.42.237.105,20.106.86.13,6,66
2026-05-10 21:43:28.594483,142.250.207.194,10.42.237.105,17,396
2026-05-10 21:43:28.616599,142.250.207.194,10.42.237.105,17,64
2026-05-10 21:43:28.620114,10.42.237.105,142.250.207.194,17,77
2026-05-10 21:43:28.694136,10.42.237.105,8.8.8.8,17,83
2026-05-10 21:43:28.695138,10.42.237.105,8.8.8.8,17,83
2026-05-10 21:43:28.706497,142.250.207.194,10.42.237.105,17,66
2026-05-10 21:43:28.799551,8.8.8.8,10.42.237.105,17,156
2026-05-10 21:43:28.814814,8.8.8.8,10.42.237.105,17,156
2026-05-10 21:43:28.914538,20.106.86.13,10.42.237.105,6,66
2026-05-10 21:43:28.917066,10.42.237.105,20.106.86.13,6,54
2026-05-10 21:43:28.925220,10.42.237.105,20.106.86.13,6,268
2026-05-10 21:43:29.244084,20.106.86.13,10.42.237.105,6,2614
2026-05-10 21:43:29.246341,20.106.86.13,10.42.237.105,6,1252
2026-05-10 21:43:29.248513,10.42.237.105,20.106.86.13,6,54
2026-05-10 21:43:29.253552,10.42.237.105,20.106.86.13,6,212
2026-05-10 21:43:29.361365,20.106.86.13,10.42.237.105,6,105
2026-05-10 21:43:29.362355,20.106.86.13,10.42.237.105,6,123
2026-05-10 21:43:29.363354,10.42.237.105,20.106.86.13,6,54
2026-05-10 21:43:29.365465,10.42.237.105,20.106.86.13,6,141
2026-05-10 21:43:29.366562,10.42.237.105,20.106.86.13,6,843
2026-05-10 21:43:29.367555,10.42.237.105,20.106.86.13,6,92
2026-05-10 21:43:29.625916,20.106.86.13,10.42.237.105,6,92
2026-05-10 21:43:29.634426,20.106.86.13,10.42.237.105,6,54
2026-05-10 21:43:29.679488,10.42.237.105,20.106.86.13,6,54
2026-05-10 21:43:29.960732,20.106.86.13,10.42.237.105,6,378
2026-05-10 21:43:29.963269,10.42.237.105,20.106.86.13,6,54
2026-05-10 21:43:30.275126,20.106.86.13,10.42.237.105,6,96
2026-05-10 21:43:30.277413,20.106.86.13,10.42.237.105,6,54
2026-05-10 21:43:30.278432,10.42.237.105,20.106.86.13,6,54
2026-05-10 21:43:30.550982,10.42.237.105,142.251.220.38,17,1292
2026-05-10 21:43:30.554983,10.42.237.105,142.251.220.38,17,122
2026-05-10 21:43:30.613091,142.251.220.38,10.42.237.105,17,69
2026-05-10 21:43:30.643421,10.42.237.105,142.251.220.38,17,74
2026-05-10 21:43:30.738079,142.251.220.38,10.42.237.105,17,187
2026-05-10 21:43:30.740597,142.251.220.38,10.42.237.105,17,64
2026-05-10 21:43:30.742595,10.42.237.105,142.251.220.38,17,77
2026-05-10 21:43:30.841140,142.251.220.38,10.42.237.105,17,66
2026-05-10 21:43:30.883628,10.42.237.105,13.204.106.34,6,66
2026-05-10 21:43:30.884627,10.42.237.105,13.204.106.34,6,66
2026-05-10 21:43:30.948450,13.204.106.34,10.42.237.105,6,66
2026-05-10 21:43:30.950461,13.204.106.34,10.42.237.105,6,66
2026-05-10 21:43:30.952462,10.42.237.105,13.204.106.34,6,54
2026-05-10 21:43:30.954470,10.42.237.105,13.204.106.34,6,54
2026-05-10 21:43:30.956575,10.42.237.105,13.204.106.34,6,1354
2026-05-10 21:43:30.960808,10.42.237.105,13.204.106.34,6,517
2026-05-10 21:43:30.964300,10.42.237.105,13.204.106.34,6,1354
2026-05-10 21:43:30.966309,10.42.237.105,13.204.106.34,6,581
2026-05-10 21:43:31.009618,13.204.106.34,10.42.237.105,6,54
2026-05-10 21:43:31.012079,13.204.106.34,10.42.237.105,6,54
2026-05-10 21:43:31.013085,13.204.106.34,10.42.237.105,6,54
2026-05-10 21:43:31.014088,13.204.106.34,10.42.237.105,6,54
2026-05-10 21:43:31.015596,13.204.106.34,10.42.237.105,6,181
2026-05-10 21:43:31.016603,13.204.106.34,10.42.237.105,6,5174
2026-05-10 21:43:31.018613,13.204.106.34,10.42.237.105,6,989
2026-05-10 21:43:31.019604,13.204.106.34,10.42.237.105,6,340
2026-05-10 21:43:31.020635,13.204.106.34,10.42.237.105,6,112
2026-05-10 21:43:31.022640,13.204.106.34,10.42.237.105,6,54
2026-05-10 21:43:31.023146,13.204.106.34,10.42.237.105,6,181
2026-05-10 21:43:31.024150,10.42.237.105,13.204.106.34,6,54
2026-05-10 21:43:31.026153,13.204.106.34,10.42.237.105,6,60
2026-05-10 21:43:31.027152,13.204.106.34,10.42.237.105,6,86
2026-05-10 21:43:31.028149,10.42.237.105,13.204.106.34,6,54
2026-05-10 21:43:31.028149,13.204.106.34,10.42.237.105,6,5174
2026-05-10 21:43:31.029658,13.204.106.34,10.42.237.105,6,951
2026-05-10 21:43:31.030666,10.42.237.105,13.204.106.34,6,54
2026-05-10 21:43:31.031667,13.204.106.34,10.42.237.105,6,340
2026-05-10 21:43:31.032666,13.204.106.34,10.42.237.105,6,112
2026-05-10 21:43:31.033666,10.42.237.105,13.204.106.34,6,54
2026-05-10 21:43:31.034667,10.42.237.105,13.204.106.34,6,118
2026-05-10 21:43:31.035665,10.42.237.105,13.204.106.34,6,118
2026-05-10 21:43:31.036666,10.42.237.105,13.204.106.34,6,1354
2026-05-10 21:43:31.039646,10.42.237.105,13.204.106.34,6,263
2026-05-10 21:43:31.040655,10.42.237.105,13.204.106.34,6,1354
2026-05-10 21:43:31.041656,10.42.237.105,13.204.106.34,6,259
2026-05-10 21:43:31.075666,13.204.106.34,10.42.237.105,6,66
2026-05-10 21:43:31.076665,13.204.106.34,10.42.237.105,6,66
2026-05-10 21:43:31.077666,13.204.106.34,10.42.237.105,6,54
2026-05-10 21:43:31.078663,13.204.106.34,10.42.237.105,6,54
2026-05-10 21:43:31.080717,13.204.106.34,10.42.237.105,6,54
2026-05-10 21:43:31.081718,13.204.106.34,10.42.237.105,6,521
2026-05-10 21:43:31.082717,13.204.106.34,10.42.237.105,6,54
2026-05-10 21:43:31.084716,13.204.106.34,10.42.237.105,6,521
2026-05-10 21:43:31.116306,10.42.237.105,13.204.106.34,6,54
2026-05-10 21:43:31.119247,10.42.237.105,13.204.106.34,6,54
2026-05-10 21:43:34.404416,10.42.237.105,8.8.8.8,17,70
2026-05-10 21:43:34.406457,10.42.237.105,8.8.8.8,17,70
2026-05-10 21:43:34.409471,10.42.237.105,8.8.8.8,17,70
2026-05-10 21:43:34.566322,8.8.8.8,10.42.237.105,17,102
2026-05-10 21:43:34.568310,8.8.8.8,10.42.237.105,17,146
2026-05-10 21:43:34.569834,8.8.8.8,10.42.237.105,17,126
2026-05-10 21:43:35.933494,10.42.237.105,8.8.8.8,17,74
2026-05-10 21:43:35.935657,10.42.237.105,8.8.8.8,17,74
2026-05-10 21:43:35.936713,10.42.237.105,8.8.8.8,17,74
2026-05-10 21:43:36.004279,8.8.8.8,10.42.237.105,17,139
2026-05-10 21:43:36.006282,8.8.8.8,10.42.237.105,17,158
2026-05-10 21:43:36.015305,8.8.8.8,10.42.237.105,17,90
2026-05-10 21:43:36.087777,10.42.237.105,20.207.73.85,6,66
2026-05-10 21:43:36.134359,10.42.237.105,44.232.161.170,6,55
2026-05-10 21:43:36.167211,20.207.73.85,10.42.237.105,6,66
2026-05-10 21:43:36.169448,10.42.237.105,20.207.73.85,6,54
2026-05-10 21:43:36.171456,10.42.237.105,20.207.73.85,6,1354
2026-05-10 21:43:36.172458,10.42.237.105,20.207.73.85,6,574
2026-05-10 21:43:36.219454,20.207.73.85,10.42.237.105,6,54
2026-05-10 21:43:36.220455,20.207.73.85,10.42.237.105,6,2614
2026-05-10 21:43:36.222968,20.207.73.85,10.42.237.105,6,590
2026-05-10 21:43:36.224973,10.42.237.105,20.207.73.85,6,54
2026-05-10 21:43:36.226399,10.42.237.105,20.207.73.85,6,118
2026-05-10 21:43:36.227411,10.42.237.105,20.207.73.85,6,146
2026-05-10 21:43:36.229460,10.42.237.105,20.207.73.85,6,553
2026-05-10 21:43:36.268440,20.207.73.85,10.42.237.105,6,212
2026-05-10 21:43:36.269445,10.42.237.105,20.207.73.85,6,54
2026-05-10 21:43:36.316127,20.207.73.85,10.42.237.105,6,54
2026-05-10 21:43:36.317130,20.207.73.85,10.42.237.105,6,118
